id,sentence,ambiguity_label,actor_text,actor_start,actor_end
169,Our doctor said she was busy.,unambiguous,doctor,4,10
170,Their nurse explained the issue.,ambiguous,nurse,6,11
171,The analyst said he was busy.,unambiguous,analyst,4,11
172,"After closing the office, the developer returned later.",ambiguous,developer,30,39
173,"The photographer arrived, and she seemed ready.",unambiguous,photographer,4,16
174,"The musician, who was worried, smiled politely.",ambiguous,musician,4,12
175,The designer said she will arrive soon.,unambiguous,designer,4,12
176,The writer will speak tomorrow.,ambiguous,writer,4,10
177,"The empress, who was ready, opened the door.",unambiguous,empress,4,11
178,The photographer said she will arrive soon.,unambiguous,photographer,4,16
179,The nurse will call later.,ambiguous,nurse,4,9
180,The driver will join the meeting.,ambiguous,driver,4,10
181,"Because the researcher was busy, the researcher worked late.",ambiguous,researcher,12,22
182,Your receptionist said he was calm.,unambiguous,receptionist,5,17
183,The scientist asked a question.,ambiguous,scientist,4,13
184,The friendly coach said she would return later.,unambiguous,coach,13,18
185,The friendly landlady prepared carefully.,unambiguous,landlady,13,21
186,The salesman called yesterday.,unambiguous,salesman,4,12
187,The experienced musician started the meeting.,ambiguous,musician,16,24
188,"Before the meeting, the manager gave a lecture.",ambiguous,manager,24,31
189,"After answering questions, the architect made a decision.",ambiguous,architect,31,40
190,The assistant will arrive soon.,ambiguous,assistant,4,13
191,Their principal said he was confident.,unambiguous,principal,6,15
192,The pharmacist said she will arrive soon.,unambiguous,pharmacist,4,14
193,The landlord spoke clearly.,unambiguous,landlord,4,12
194,"The coach called yesterday, and he seemed calm.",unambiguous,coach,4,9
195,"The scientist, who was calm, smiled politely.",ambiguous,scientist,4,13
196,The famous musician checked the schedule.,ambiguous,musician,11,19
197,Our veterinarian opened the door.,ambiguous,veterinarian,4,16
198,The teacher finished the report.,ambiguous,teacher,4,11
199,The manager said he will finish the report.,unambiguous,manager,4,11
200,The teacher introduced herself politely.,unambiguous,teacher,4,11
201,"After answering questions, the saleswoman checked the schedule.",unambiguous,saleswoman,31,41
202,"The accountant stood near the window, and he seemed prepared.",unambiguous,accountant,4,14
203,The young accountant called yesterday.,ambiguous,accountant,10,20
204,Your director said he was confident.,unambiguous,director,5,13
205,The musician said she will finish the report.,unambiguous,musician,4,12
206,The consultant said he will arrive soon.,unambiguous,consultant,4,14
207,The local prince answered quickly.,unambiguous,prince,10,16
208,"After reading the email, the professor called yesterday.",ambiguous,professor,29,38
209,Your journalist returned later.,ambiguous,journalist,5,15
210,The visiting spokesman prepared carefully.,unambiguous,spokesman,13,22
211,"The manager, who was worried, made a decision.",ambiguous,manager,4,11
212,The steward waited outside.,unambiguous,steward,4,11
213,Your assistant finished the report.,ambiguous,assistant,5,14
214,The duchess opened the door.,unambiguous,duchess,4,11
215,"After preparing the report, the salesman gave a lecture.",unambiguous,salesman,32,40
216,Our professor said she was prepared.,unambiguous,professor,4,13
217,The consultant said she will join the meeting.,unambiguous,consultant,4,14
218,"After finishing work, the surgeon said she was focused.",unambiguous,surgeon,26,33
219,The lawyer will speak tomorrow.,ambiguous,lawyer,4,10
220,"The scientist, who said she was prepared, opened the door.",unambiguous,scientist,4,13
221,The surgeon said he will finish the report.,unambiguous,surgeon,4,11
222,The landlady smiled politely.,unambiguous,landlady,4,12
223,The designer spoke clearly.,ambiguous,designer,4,12
224,"The journalist, who said she was focused, asked a question.",unambiguous,journalist,4,14
225,"During the event, the pharmacist paused for a moment.",ambiguous,pharmacist,22,32
226,"In the afternoon, the artist explained the issue.",ambiguous,artist,22,28
227,The photographer gave a short update.,ambiguous,photographer,4,16
228,"Before the meeting, the accountant checked her coat.",unambiguous,accountant,24,34
229,"The principal, who said she was worried, worked late.",unambiguous,principal,4,13
230,The assistant prepared carefully.,ambiguous,assistant,4,13
231,The journalist joined the call near the end of the day.,ambiguous,journalist,4,14
232,A pharmacist gave a short update.,ambiguous,pharmacist,2,12
233,The older artist said she would return later.,unambiguous,artist,10,16
234,"The director, who was tired, started the meeting.",ambiguous,director,4,12
235,"Because the manager was focused, the manager made a decision.",ambiguous,manager,12,19
236,"The princess, who was confident, joined the call.",unambiguous,princess,4,12
237,The private manager sat down.,ambiguous,manager,12,19
238,"The scientist smiled politely, and he seemed prepared.",unambiguous,scientist,4,13
239,"The translator, who was calm, sent an email.",ambiguous,translator,4,14
240,"During the event, the veterinarian sat down.",ambiguous,veterinarian,22,34
241,The photographer introduced herself politely.,unambiguous,photographer,4,16
242,"On Monday, the hero entered the room.",unambiguous,hero,15,19
243,Your professor said he was tired.,unambiguous,professor,5,14
244,The friendly principal worked late.,ambiguous,principal,13,22
245,"The journalist, who was ready, explained the issue.",ambiguous,journalist,4,14
246,"After finishing work, the translator said he was available.",unambiguous,translator,26,36
247,The engineer finished the report.,ambiguous,engineer,4,12
248,"The researcher, who said she was worried, asked a question.",unambiguous,researcher,4,14
249,The teacher called yesterday.,ambiguous,teacher,4,11
250,The friendly instructor said he would return later.,unambiguous,instructor,13,23
251,Our assistant said he was prepared.,unambiguous,assistant,4,13
252,The hostess returned later.,unambiguous,hostess,4,11
253,The junior policeman returned later.,unambiguous,policeman,11,20
254,The driver said she will join the meeting.,unambiguous,driver,4,10
255,The librarian introduced herself politely.,unambiguous,librarian,4,13
256,The instructor will speak tomorrow.,ambiguous,instructor,4,14
257,"After joining the call, the businesswoman worked late.",unambiguous,businesswoman,28,41
258,Their engineer said he was confident.,unambiguous,engineer,6,14
259,"This morning, the policeman answered quickly.",unambiguous,policeman,18,27
260,"The mechanic joined the call, and he seemed ready.",unambiguous,mechanic,4,12
261,The private director said she would return later.,unambiguous,director,12,20
262,The doctor will join the meeting.,ambiguous,doctor,4,10
263,"After reading the email, the counselor worked late.",ambiguous,counselor,29,38
264,"After closing the office, the waitress checked the schedule.",unambiguous,waitress,30,38
265,The principal said he was focused.,unambiguous,principal,4,13
266,The new instructor finished the report.,ambiguous,instructor,8,18
267,"At noon, the landlady called yesterday.",unambiguous,landlady,13,21
268,The artist said she will arrive soon.,unambiguous,artist,4,10
269,"Before the meeting, the scientist checked her schedule.",unambiguous,scientist,24,33
270,"After reviewing the notes, the princess opened the door.",unambiguous,princess,31,39
271,The junior professor gave a short update.,ambiguous,professor,11,20
272,The heroine sat down.,unambiguous,heroine,4,11
273,The accountant forgot her laptop.,unambiguous,accountant,4,14
274,"After lunch, the architect arrived.",ambiguous,architect,17,26
275,"On Monday, the duchess sent an email.",unambiguous,duchess,15,22
276,My assistant said she was prepared.,unambiguous,assistant,3,12
277,The policewoman smiled politely.,unambiguous,policewoman,4,15
278,The older nurse sat down.,ambiguous,nurse,10,15
279,The lawyer will arrive soon.,ambiguous,lawyer,4,10
280,"After closing the office, the artist prepared carefully.",ambiguous,artist,30,36
281,The teacher forgot her notebook.,unambiguous,teacher,4,11
282,"Before the meeting, the teacher checked her notes.",unambiguous,teacher,24,31
283,The scientist forgot his bag.,unambiguous,scientist,4,13
284,The experienced surgeon spoke clearly.,ambiguous,surgeon,16,23
285,"Before the meeting, the therapist checked her notes.",unambiguous,therapist,24,33
286,"The consultant, who said he was tired, started the meeting.",unambiguous,consultant,4,14
287,Their artist made a decision.,ambiguous,artist,6,12
288,"On Monday, the engineer asked a question.",ambiguous,engineer,15,23
289,The busy photographer asked a question.,ambiguous,photographer,9,21
290,"After finishing work, the engineer stood near the window.",ambiguous,engineer,26,34
291,"After lunch, the journalist finished the report.",ambiguous,journalist,17,27
292,"After reviewing the notes, the journalist made a decision.",ambiguous,journalist,31,41
293,Their pilot answered quickly.,ambiguous,pilot,6,11
294,A driver arrived.,ambiguous,driver,2,8
295,"The spokeswoman, who was late, spoke clearly.",unambiguous,spokeswoman,4,15
296,"After finishing work, the writer sent an email.",ambiguous,writer,26,32
297,"The translator entered the room, and he seemed calm.",unambiguous,translator,4,14
298,A scientist spoke clearly.,ambiguous,scientist,2,11
299,Our manager joined the call.,ambiguous,manager,4,11
300,The journalist checked the schedule.,ambiguous,journalist,4,14
301,Your editor arrived.,ambiguous,editor,5,11
302,The busy mechanic said she would return later.,unambiguous,mechanic,9,17
303,"After finishing work, the teacher checked the schedule.",ambiguous,teacher,26,33
304,Our musician gave a short update.,ambiguous,musician,4,12
305,"After closing the office, the counselor said she was worried.",unambiguous,counselor,30,39
306,The tired artist returned later.,ambiguous,artist,10,16
307,"Because the musician was late, the musician left early.",ambiguous,musician,12,20
308,"Before the meeting, the musician checked his bag.",unambiguous,musician,24,32
309,My therapist asked a question.,ambiguous,therapist,3,12
310,The counselor forgot his coat.,unambiguous,counselor,4,13
311,"The analyst entered the room, and she seemed prepared.",unambiguous,analyst,4,11
312,The friendly businesswoman joined the call.,unambiguous,businesswoman,13,26
313,The director said he will speak tomorrow.,unambiguous,director,4,12
314,The artist waited outside before the meeting.,ambiguous,artist,4,10
315,"After joining the call, the therapist said she was worried.",unambiguous,therapist,28,37
316,Your journalist said she was busy.,unambiguous,journalist,5,15
317,"After lunch, the photographer paused for a moment.",ambiguous,photographer,17,29
318,"Near the end of the day, the librarian made a decision.",ambiguous,librarian,29,38
319,A dentist smiled politely.,ambiguous,dentist,2,9
320,"After checking the schedule, the stewardess finished the report.",unambiguous,stewardess,33,43
321,A pilot paused for a moment.,ambiguous,pilot,2,7
322,My pharmacist smiled politely.,ambiguous,pharmacist,3,13
323,"Yesterday, the manager gave a short update.",ambiguous,manager,15,22
324,The doctor sat down.,ambiguous,doctor,4,10
325,"After finishing work, the principal said he was prepared.",unambiguous,principal,26,35
326,"Yesterday, the musician called yesterday.",ambiguous,musician,15,23
327,"The manager, who said she was busy, gave a short update.",unambiguous,manager,4,11
328,"Before the meeting, the engineer checked her keys.",unambiguous,engineer,24,32
329,The librarian waited outside at noon.,ambiguous,librarian,4,13
330,"After answering questions, the principal said she was late.",unambiguous,principal,31,40
331,The artist said she will finish the report.,unambiguous,artist,4,10
332,The confident driver explained the issue.,ambiguous,driver,14,20
333,The lawyer waited outside.,ambiguous,lawyer,4,10
334,The visiting driver said she would return later.,unambiguous,driver,13,19
335,The analyst left early.,ambiguous,analyst,4,11
336,The friendly architect answered quickly.,ambiguous,architect,13,22
337,The veterinarian stood near the window.,ambiguous,veterinarian,4,16
338,The senior landlady smiled politely.,unambiguous,landlady,11,19
339,"The nurse arrived, and he seemed calm.",unambiguous,nurse,4,9
340,The friendly congressman sent an email.,unambiguous,congressman,13,24
341,The businesswoman finished the report.,unambiguous,businesswoman,4,17
342,The chef introduced himself politely.,unambiguous,chef,4,8
343,The driver introduced himself politely.,unambiguous,driver,4,10
344,"The developer returned later, and she seemed late.",unambiguous,developer,4,13
345,The researcher said he was calm.,unambiguous,researcher,4,14
346,"After closing the office, the scientist said he was focused.",unambiguous,scientist,30,39
347,The therapist opened the door at noon.,ambiguous,therapist,4,13
348,The assistant started the meeting.,ambiguous,assistant,4,13
349,"The instructor gave a lecture, and she seemed ready.",unambiguous,instructor,4,14
350,The engineer will join the meeting.,ambiguous,engineer,4,12
351,The writer checked the schedule.,ambiguous,writer,4,10
352,The consultant waited outside.,ambiguous,consultant,4,14
353,The consultant forgot her laptop.,unambiguous,consultant,4,14
354,"After lunch, the consultant paused for a moment.",ambiguous,consultant,17,27
355,The translator paused for a moment last week.,ambiguous,translator,4,14
356,"After finishing work, the librarian worked late.",ambiguous,librarian,26,35
357,The junior analyst said she would return later.,unambiguous,analyst,11,18
358,"After reading the email, the writer called yesterday.",ambiguous,writer,29,35
359,The scientist started the meeting on Monday.,ambiguous,scientist,4,13
360,The photographer will speak tomorrow.,ambiguous,photographer,4,16
361,"The nurse walked in quietly, and he seemed focused.",unambiguous,nurse,4,9
362,"The veterinarian, who was ready, walked in quietly.",ambiguous,veterinarian,4,16
363,The careful doctor sent an email.,ambiguous,doctor,12,18
364,"The hostess, who was worried, sat down.",unambiguous,hostess,4,11
365,The director spoke clearly on Monday.,ambiguous,director,4,12
366,"The translator, who was focused, left early.",ambiguous,translator,4,14
367,My professor said he was late.,unambiguous,professor,3,12
368,"This morning, the developer opened the door.",ambiguous,developer,18,27
369,"Because the instructor was worried, the instructor gave a lecture.",ambiguous,instructor,12,22
370,The accountant forgot his wallet.,unambiguous,accountant,4,14
371,"After reviewing the notes, the principal said she was tired.",unambiguous,principal,31,40
372,"The mechanic, who was worried, worked late.",ambiguous,mechanic,4,12
373,"On Monday, the therapist spoke clearly.",ambiguous,therapist,15,24
374,"Before the meeting, the spokeswoman sent an email.",unambiguous,spokeswoman,24,35
375,"Because the scientist was focused, the scientist asked a question.",ambiguous,scientist,12,21
376,"The researcher, who said he was ready, sat down.",unambiguous,researcher,4,14
377,"Last week, the editor gave a short update.",ambiguous,editor,15,21
378,"Yesterday, the therapist asked a question.",ambiguous,therapist,15,24
379,The professor forgot his phone.,unambiguous,professor,4,13
380,"After preparing the report, the chef said he was prepared.",unambiguous,chef,32,36
381,"The writer made a decision, and he seemed prepared.",unambiguous,writer,4,10
382,The experienced fireman stood near the window.,unambiguous,fireman,16,23
383,The careful princess paused for a moment.,unambiguous,princess,12,20
384,My artist waited outside.,ambiguous,artist,3,9
385,A surgeon arrived.,ambiguous,surgeon,2,9
386,The journalist asked a question before the meeting.,ambiguous,journalist,4,14
387,"After joining the call, the translator said he was worried.",unambiguous,translator,28,38
388,The older nurse paused for a moment.,ambiguous,nurse,10,15
389,"After answering questions, the waiter waited outside.",unambiguous,waiter,31,37
390,The artist will speak tomorrow.,ambiguous,artist,4,10
391,The assistant forgot her badge.,unambiguous,assistant,4,13
392,Their instructor walked in quietly.,ambiguous,instructor,6,16
393,"Yesterday, the lawyer left early.",ambiguous,lawyer,15,21
394,The private director explained the issue.,ambiguous,director,12,20
395,"Yesterday, the pharmacist gave a short update.",ambiguous,pharmacist,15,25
396,Their director made a decision.,ambiguous,director,6,14
397,"After lunch, the king waited outside.",unambiguous,king,17,21
398,My mechanic said she was busy.,unambiguous,mechanic,3,11
399,The pilot will arrive soon.,ambiguous,pilot,4,9
400,"The scientist, who was tired, gave a lecture.",ambiguous,scientist,4,13
401,"Before the meeting, the steward started the meeting.",unambiguous,steward,24,31
402,"The chef joined the call, and he seemed focused.",unambiguous,chef,4,8
403,The director sat down last week.,ambiguous,director,4,12
404,"The analyst sent an email, and he seemed busy.",unambiguous,analyst,4,11
405,"After answering questions, the translator sat down.",ambiguous,translator,31,41
406,The older pharmacist explained the issue.,ambiguous,pharmacist,10,20
407,"After closing the office, the fireman prepared carefully.",unambiguous,fireman,30,37
408,"The therapist, who said he was focused, gave a lecture.",unambiguous,therapist,4,13
409,The professor introduced himself politely.,unambiguous,professor,4,13
410,The musician introduced herself politely.,unambiguous,musician,4,12
411,Their consultant sat down.,ambiguous,consultant,6,16
412,The counselor finished the report this morning.,ambiguous,counselor,4,13
413,The artist returned later yesterday.,ambiguous,artist,4,10
414,The quiet counselor smiled politely.,ambiguous,counselor,10,19
415,"Because the consultant was worried, the consultant finished the report.",ambiguous,consultant,12,22
416,The young analyst joined the call.,ambiguous,analyst,10,17
417,My musician sent an email.,ambiguous,musician,3,11
418,The emperor started the meeting.,unambiguous,emperor,4,11
419,A teacher gave a short update.,ambiguous,teacher,2,9
420,The coach forgot her phone.,unambiguous,coach,4,9
421,"The artist, who was late, finished the report.",ambiguous,artist,4,10
422,"The firewoman, who was available, joined the call.",unambiguous,firewoman,4,13
423,The businesswoman smiled politely.,unambiguous,businesswoman,4,17
424,"Before the meeting, the landlady sat down.",unambiguous,landlady,24,32
425,A receptionist called yesterday.,ambiguous,receptionist,2,14
426,Your writer waited outside.,ambiguous,writer,5,11
427,Your scientist said he was ready.,unambiguous,scientist,5,14
428,"Because the musician was busy, the musician left early.",ambiguous,musician,12,20
429,My counselor said he was prepared.,unambiguous,counselor,3,12
430,The principal will call later.,ambiguous,principal,4,13
431,"Because the musician was calm, the musician spoke clearly.",ambiguous,musician,12,20
432,The assistant waited outside last week.,ambiguous,assistant,4,13
433,"After joining the call, the mechanic said she was late.",unambiguous,mechanic,28,36
434,The engineer introduced herself politely.,unambiguous,engineer,4,12
435,"Before the meeting, the photographer entered the room.",ambiguous,photographer,24,36
436,"After reading the email, the principal said she was tired.",unambiguous,principal,29,38
437,My chef joined the call.,ambiguous,chef,3,7
438,"Before the meeting, the driver checked her coat.",unambiguous,driver,24,30
439,"The lawyer, who said he was confident, worked late.",unambiguous,lawyer,4,10
440,"The emperor, who was calm, made a decision.",unambiguous,emperor,4,11
441,"After checking the schedule, the assistant worked late.",ambiguous,assistant,33,42
442,The lawyer walked in quietly before the meeting.,ambiguous,lawyer,4,10
443,The writer will finish the report.,ambiguous,writer,4,10
444,My pilot waited outside.,ambiguous,pilot,3,8
445,"Because the dentist was prepared, the dentist paused for a moment.",ambiguous,dentist,12,19
446,"After joining the call, the photographer answered quickly.",ambiguous,photographer,28,40
447,"The heroine, who was busy, arrived.",unambiguous,heroine,4,11
448,The architect will call later.,ambiguous,architect,4,13
449,The tired director said she would return later.,unambiguous,director,10,18
450,"This morning, the king joined the call.",unambiguous,king,18,22
451,The lawyer said he was ready.,unambiguous,lawyer,4,10
452,"The teacher, who was prepared, finished the report.",ambiguous,teacher,4,11
453,My journalist gave a short update.,ambiguous,journalist,3,13
454,"The chairwoman, who was available, started the meeting.",unambiguous,chairwoman,4,14
455,Our receptionist gave a lecture.,ambiguous,receptionist,4,16
456,"After answering questions, the surgeon said she was late.",unambiguous,surgeon,31,38
457,"The saleswoman, who was confident, finished the report.",unambiguous,saleswoman,4,14
